name,val_acc,val_f1m,test_acc,test_f1m,fit_sec,cm_path
KNN_k21__PCA64,0.43302026693030155,0.4050542004115823,0.48370927318295737,0.4700475074130295,0.0016160011291503906,gpu_results/cm_KNN_k21__PCA64.png
KNN_k5__PCA64,0.42165101334651506,0.40153718831759383,0.46073517126148705,0.44857738962676363,0.0016782283782958984,gpu_results/cm_KNN_k5__PCA64.png
KNN_k13__PCA64,0.42708848245180425,0.4008428495693676,0.47619047619047616,0.4646418403610885,0.0016009807586669922,gpu_results/cm_KNN_k13__PCA64.png
KNN_k13__PCA128,0.43252595155709345,0.3986324502344252,0.4569757727652464,0.43553845575827455,0.0016961097717285156,gpu_results/cm_KNN_k13__PCA128.png
KNN_k9__PCA128,0.41522491349480967,0.38346831660848557,0.4573934837092732,0.43761102879517255,0.0018248558044433594,gpu_results/cm_KNN_k9__PCA128.png
SVM_RBF_C2.0_Gauto__PCA64,0.34849233811171526,0.2865135804941343,0.33751044277360065,0.2680547644219025,0.6083853244781494,gpu_results/cm_SVM_RBF_C2.0_Gauto__PCA64.png
SVM_RBF_C4.0_Gauto__PCA64,0.34849233811171526,0.2865135804941343,0.33751044277360065,0.2680547644219025,0.6049370765686035,gpu_results/cm_SVM_RBF_C4.0_Gauto__PCA64.png
SVM_RBF_C8.0_Gauto__PCA64,0.34849233811171526,0.2865135804941343,0.33751044277360065,0.2680547644219025,0.6041266918182373,gpu_results/cm_SVM_RBF_C8.0_Gauto__PCA64.png
SVM_RBF_C16.0_Gauto__PCA64,0.34849233811171526,0.2865135804941343,0.33751044277360065,0.2680547644219025,0.6043264865875244,gpu_results/cm_SVM_RBF_C16.0_Gauto__PCA64.png
SVM_RBF_C1.0_Gauto__PCA64,0.34750370736529906,0.2849922458577935,0.335421888053467,0.263827826238897,0.6016266345977783,gpu_results/cm_SVM_RBF_C1.0_Gauto__PCA64.png
